,area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
5548,US000,3,1023,2020,1930,44096,2660772680,403330644,4994577,1160,60341,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-24,-1.2,-1179,-2.6,118298748,4.7,325040,0.1,-180615,-3.5,80,7.4,4185,7.5
5549,US000,5,1023,2020,943764,8206299,875597538466,128323593077,2047375439,2052,106698,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,29723,3.3,-113545,-1.4,55959400885,6.8,395060998,0.3,-105180573,-4.9,157,8.3,8182,8.3
6761,US000,1,1024,2020,1464,69044,6350119238,0,0,1769,91972,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0,0.0,1516,2.2,183277214,3.0,0,0.0,0,0.0,13,0.7,650,0.7
6762,US000,2,1024,2020,1031,32029,2206549171,33656559,268293,1325,68893,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,0.6,61,0.2,76796722,3.6,1726721,5.4,40129,17.6,44,3.4,2271,3.4
6763,US000,3,1024,2020,4471,90877,5230854381,272665085,4019874,1107,57560,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,19,0.4,-4382,-4.6,71164999,1.4,-17255783,-6.0,40232,1.0,65,6.2,3395,6.3
6764,US000,5,1024,2020,1976354,20324620,1717681920149,335445498147,6483380000,1625,84512,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,72377,3.8,-909362,-4.3,53263280713,3.2,-7350231235,-2.1,-710893807,-9.9,118,7.8,6127,7.8
6388,US000,1,1026,2020,1519,45396,2356707996,0,0,998,51914,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,2,0.1,-3094,-6.4,-51275191,-2.1,0,0.0,0,0.0,43,4.5,2255,4.5
6389,US000,2,1026,2020,933,16801,680533114,20917505,426976,779,40506,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3,-0.3,-3259,-16.2,-31126787,-4.4,-2172912,-9.4,-37263,-8.0,97,14.2,5029,14.2
6390,US000,3,1026,2020,4671,326659,11822787555,1599081982,23411720,696,36193,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-16,-0.3,-85699,-20.8,-1602255944,-11.9,-108187399,-6.3,-2761179,-10.5,70,11.2,3636,11.2
6391,US000,5,1026,2020,888618,12800577,331198609866,161713998260,2304157976,498,25874,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7618,0.9,-3656676,-22.2,-81564839068,-19.8,-33284290540,-17.1,-747768631,-24.5,16,3.3,793,3.2
5098,US000,1,1027,2020,166,4492,262905400,0,0,1125,58523,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,2,1.2,-132,-2.9,3044943,1.2,0,0.0,0,0.0,44,4.1,2325,4.1
5099,US000,2,1027,2020,172,3318,159021166,10369303,55629,922,47927,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.6,-29,-0.9,-830567,-0.5,-36370,-0.3,4719,9.3,4,0.4,166,0.3
5100,US000,3,1027,2020,2110,31665,1551840189,101155128,1556331,942,49009,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-17,-0.8,-1267,-3.8,33096538,2.2,-5926837,-5.5,-75324,-4.6,55,6.2,2892,6.3
5101,US000,5,1027,2020,823449,3944955,173908839428,51314693638,793449913,848,44084,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-37394,-4.3,-608206,-13.4,-7862200879,-4.3,-4249609234,-7.6,-126699110,-13.8,80,10.4,4162,10.4
9837,US000,1,1028,2020,25472,1640052,153994521149,0,0,1806,93896,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,742,3.0,106341,6.9,8436634010,5.8,0,0.0,0,0.0,-19,-1.0,-1010,-1.1
9838,US000,2,1028,2020,49908,1800023,116250459770,5196318055,12444380,1242,64583,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,90,0.2,-6162,-0.3,3916830649,3.5,27849916,0.5,-4580647,-26.9,46,3.8,2389,3.8
9839,US000,3,1028,2020,63000,4040222,254809363014,10204674279,75372319,1213,63068,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,117,0.2,-97227,-2.3,9932651451,4.1,136624366,1.4,3515053,4.9,75,6.6,3883,6.6
1794,US000,1,1029,2020,5,2,272477,0,0,2620,136239,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1,25.0,0,0.0,67555,33.0,0,0.0,0,0.0,131,5.3,6815,5.3
1795,US000,2,1029,2020,23,27,1086606,284677,3856,786,40875,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-6,-20.7,6,28.6,190037,21.2,170277,148.8,3494,965.2,-19,-2.4,-988,-2.4
1796,US000,3,1029,2020,62,118,5821799,497330,10139,950,49407,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,10,19.2,50,73.5,3186639,120.9,-42696,-7.9,4435,77.8,208,28.0,10844,28.1
1797,US000,5,1029,2020,179687,137650,9113871857,3030412081,77876734,1273,66211,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,24468,15.8,6797,5.2,1149558625,14.4,417617778,16.0,10816261,16.1,103,8.8,5347,8.8
